               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028322,            0.013715,             0.02455,             0.49671,             0.76093,             0.60377,             0.52828,            0.018642,           0.0051594,            0.019155,            0.008812,            0.008812,            0.008812
                  38,            0.027362,            0.013318,            0.024119,             0.49442,              0.7659,              0.6058,             0.53027,            0.018562,            0.005151,            0.019132,            0.008779,            0.008779,            0.008779
                  39,            0.026191,            0.013293,             0.02369,             0.49532,             0.77816,             0.60742,             0.53254,            0.018562,           0.0051433,             0.01909,            0.008746,            0.008746,            0.008746
                  40,            0.026936,            0.013289,            0.023805,             0.49585,              0.7808,             0.60873,             0.53411,            0.018478,           0.0051481,            0.019005,            0.008713,            0.008713,            0.008713
                  41,            0.028144,            0.013416,            0.024699,             0.49573,             0.78469,             0.60934,             0.53466,            0.018323,           0.0051475,             0.01897,             0.00868,             0.00868,             0.00868
                  42,            0.027158,            0.013525,            0.024074,             0.49681,             0.78652,             0.61027,             0.53562,             0.01826,            0.005152,             0.01893,            0.008647,            0.008647,            0.008647
                  43,            0.027461,            0.013478,              0.0243,             0.49663,             0.78538,             0.61064,             0.53606,              0.0182,           0.0051522,            0.018905,            0.008614,            0.008614,            0.008614
                  44,            0.026836,             0.01345,            0.025011,             0.49884,             0.78337,             0.61108,             0.53659,            0.018139,           0.0051516,            0.018845,            0.008581,            0.008581,            0.008581
                  45,            0.027311,            0.013525,            0.023458,             0.49777,             0.78629,             0.61104,             0.53686,            0.018054,           0.0051481,            0.018801,            0.008548,            0.008548,            0.008548
                  46,            0.026751,            0.013199,            0.024136,             0.49656,              0.7857,             0.61087,             0.53689,            0.018018,            0.005145,            0.018796,            0.008515,            0.008515,            0.008515
                  47,             0.02694,            0.013325,            0.023922,             0.49796,             0.78416,             0.61164,             0.53732,            0.017945,           0.0051417,            0.018787,            0.008482,            0.008482,            0.008482
                  48,            0.026436,            0.013549,            0.023899,             0.49849,             0.78455,             0.61196,             0.53757,            0.017886,            0.005138,             0.01875,            0.008449,            0.008449,            0.008449
                  49,             0.02707,             0.01335,            0.024444,             0.49953,             0.78412,             0.61258,             0.53753,            0.017826,           0.0051366,             0.01874,            0.008416,            0.008416,            0.008416
                  50,            0.026329,            0.013214,            0.023821,             0.49894,             0.77861,             0.61239,             0.53727,            0.017771,           0.0051382,            0.018717,            0.008383,            0.008383,            0.008383
                  51,            0.025912,            0.012841,            0.022993,             0.50084,              0.7729,             0.61263,             0.53733,            0.017739,           0.0051354,            0.018663,             0.00835,             0.00835,             0.00835
                  52,            0.026999,            0.013161,            0.023255,             0.50205,             0.77074,             0.61285,             0.53815,            0.017716,           0.0051322,            0.018613,            0.008317,            0.008317,            0.008317
                  53,            0.026431,             0.01325,            0.023514,             0.50185,             0.77327,             0.61375,             0.53875,            0.017679,             0.00513,            0.018577,            0.008284,            0.008284,            0.008284
                  54,            0.026415,            0.013354,            0.023727,             0.50236,             0.77483,             0.61394,              0.5388,            0.017645,           0.0051252,            0.018552,            0.008251,            0.008251,            0.008251
                  55,              0.0269,            0.013446,            0.023758,             0.50169,             0.77143,             0.61463,             0.53947,            0.017592,           0.0051209,            0.018512,            0.008218,            0.008218,            0.008218
                  56,            0.026743,            0.013039,            0.023067,             0.50354,             0.77418,             0.61473,              0.5395,            0.017554,           0.0051175,            0.018486,            0.008185,            0.008185,            0.008185
                  57,             0.02599,            0.013289,            0.024405,             0.50386,             0.77281,             0.61444,             0.54002,            0.017511,            0.005116,            0.018471,            0.008152,            0.008152,            0.008152
                  58,            0.026699,            0.013594,            0.024081,             0.50571,             0.77494,             0.61476,             0.54032,             0.01748,           0.0051149,            0.018454,            0.008119,            0.008119,            0.008119
                  59,             0.02645,            0.013381,            0.023951,             0.50505,             0.76916,             0.61513,             0.54066,            0.017436,           0.0051129,             0.01844,            0.008086,            0.008086,            0.008086
                  60,            0.025544,            0.013027,            0.023168,             0.50553,             0.77635,             0.61567,             0.54125,            0.017396,           0.0051104,            0.018423,            0.008053,            0.008053,            0.008053
                  61,            0.026019,            0.012954,            0.023638,             0.50522,             0.77245,             0.61581,             0.54112,            0.017381,           0.0051056,            0.018412,             0.00802,             0.00802,             0.00802
                  62,            0.026145,            0.013046,            0.023114,             0.50526,             0.77264,             0.61599,             0.54155,            0.017349,           0.0051027,            0.018396,            0.007987,            0.007987,            0.007987
